,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count
"('AS14.02', datetime.date(2014, 3, 13))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,145.0,145,40.0,40,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.03', datetime.date(2014, 3, 21))",18.0,2,2.0,2,4.0,2,0.0,0,1664.9540009498596,50,115.0,115,32.0,32,168.05500000000004,11,1724.7390000000003,38,946.017,30,0.0,0,0.0,0,10.046,1,543.588,15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.03', datetime.date(2014, 3, 22))",57.0,7,6.0,7,9.0,7,2.4880480123861193,13,4308.49100136757,122,123.0,123,33.0,33,650.1430000000004,49,2183.2340000000004,73,4861.541,103,0.0,0,0.0,0,10.046,1,632.804,21,0.0,0,168.54500000000002,7,0.0,0,4.35,1,0.0,0
"('AS14.03', datetime.date(2014, 3, 23))",98.0,12,5.0,12,15.0,12,4.893968773847201,37,9356.828001976013,239,124.0,124,34.0,34,1142.719,87,3686.356,121,6602.9320000000025,186,36.364,1,0.0,0,172.04399999999998,5,884.3329999999999,37,0.0,0,443.95,15,0.0,0,4.35,1,44.854,1
"('AS14.03', datetime.date(2014, 3, 24))",137.0,17,2.0,17,22.0,17,7.071734111964808,61,15604.87400150299,364,127.0,127,34.0,34,1234.9650000000004,94,5968.692000000004,184,10510.975000000006,304,141.581,8,0.0,0,297.36899999999997,10,1735.3499999999997,58,0.0,0,443.95,15,11.064,1,9.486,2,44.854,1
"('AS14.03', datetime.date(2014, 3, 25))",176.0,22,0.0,22,28.0,22,10.258172964528615,85,19395.986001729965,498,133.0,133,35.0,35,2279.4600000000005,116,7273.790000000004,263,11862.391,404,589.124,11,0.0,0,438.44499999999994,21,1868.9799999999996,63,0.0,0,443.95,15,58.388,2,38.329,5,44.854,1
"('AS14.03', datetime.date(2014, 3, 26))",209.0,26,2.0,26,32.0,26,12.445849791895915,109,23381.963000535965,624,134.0,134,35.0,35,2398.099,137,8568.579000000005,351,14218.264000000006,497,676.265,14,0.0,0,459.1289999999999,25,1941.6599999999996,70,0.0,0,456.78999999999996,17,66.037,4,38.329,5,44.854,1
"('AS14.03', datetime.date(2014, 3, 27))",240.0,30,3.0,30,34.0,30,14.922547880665457,133,26657.595002174377,713,137.0,137,36.0,36,2986.4350000000013,165,9500.241000000007,413,15872.021000000004,582,676.265,14,0.0,0,472.5659999999999,27,2001.6919999999996,76,0.0,0,456.78999999999996,17,66.037,4,55.819,7,44.854,1
"('AS14.03', datetime.date(2014, 3, 28))",272.0,34,1.0,34,40.0,34,17.434850792163058,157,29908.03700041771,826,140.0,140,36.0,36,3263.9610000000016,176,10441.120000000006,484,19223.812000000013,671,676.265,14,0.0,0,518.7719999999999,30,2248.0679999999993,90,0.0,0,456.78999999999996,17,129.824,6,62.864000000000004,8,44.854,1
"('AS14.03', datetime.date(2014, 3, 29))",315.0,39,0.0,39,48.0,39,21.35590689837067,181,32169.42800092697,878,140.0,140,37.0,37,3283.2710000000015,178,10594.048000000006,504,21753.04000000001,733,725.636,15,0.0,0,518.7719999999999,30,2352.4929999999995,100,0.0,0,456.78999999999996,17,129.824,6,62.864000000000004,8,44.854,1
