date_time,participant_id,batch,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count,sum_of_counts
2014-04-05,AS14.03,0,7.6,5,1.2,5,1.0,5,0.1144279376296362,24,3852.661998987194,95,6.0,6,0.0,0,263.05899999999997,27,1110.404,67,2295.814,56,0.0,0,0.0,0,106.486,3,60.862,6,0.0,0,19.696,2,0.0,0,0.0,0,0.0,0,301
2014-04-06,AS14.03,0,6.8,5,0.2,5,0.8,5,0.076772015485237,24,6028.5489985942895,66,0.0,0,0.0,0,11.063,3,730.3430000000001,26,4234.200000000001,78,0.0,0,0.0,0,0.0,0,1024.5929999999998,6,0.0,0,0.0,0,23.094,1,0.0,0,0.0,0,219
2014-04-07,AS14.03,0,7.4,5,0.2,5,1.0,5,0.1440639367890296,24,5035.644999742507,93,2.0,2,0.0,0,596.0109999999999,21,1787.4449999999997,72,2513.812000000001,69,88.197,5,0.0,0,124.681,4,72.08200000000001,9,0.0,0,0.0,0,82.764,3,0.0,0,0.0,0,317
2014-04-08,AS14.03,0,7.4,5,0.4,5,1.2,5,0.1038308889653645,24,2530.1518212567657,84,2.0,2,1.0,1,873.53,19,683.3639999999999,59,1307.6369999999995,65,27.089,1,0.0,0,1494.864,1,70.913,10,0.0,0,0.0,0,11.128,1,0.0,0,0.0,0,282
2014-04-09,AS14.03,0,7.8,5,0.6,5,1.0,5,0.0921222333052219,24,1773.7219996452322,89,0.0,0,0.0,0,23.843000000000004,3,763.8649999999999,70,984.3600000000002,55,31.735,2,0.0,0,16.27,3,74.42000000000002,13,0.0,0,0.0,0,50.254,2,0.0,0,0.0,0,276
2014-04-10,AS14.03,0,7.4,5,0.4,5,1.0,5,0.1080663991151945,24,4831.958822370657,91,0.0,0,2.0,2,103.689,2,1778.9790000000007,84,2776.328,59,0.0,0,0.0,0,5.217,1,95.092,10,13.22,1,0.0,0,2239.937,1,0.0,0,0.0,0,290
2014-04-11,AS14.03,0,7.6,5,0.2,5,1.0,5,0.1201880832717655,24,4983.920999288562,90,0.0,0,0.0,0,102.159,6,1698.898,87,3128.4889999999996,56,17.149,1,0.0,0,9.16,2,354.0920000000001,12,0.0,0,0.0,0,28.343,1,4.513,1,0.0,0,295
2014-04-12,AS14.03,0,7.666666666666667,3,0.3333333333333333,3,1.0,3,0.1270373422712845,24,2492.8179993629456,44,6.0,6,0.0,0,116.77092821013603,17,229.648,15,4009.627913756869,34,0.0,0,0.0,0,0.0,0,1072.477,11,0.0,0,0.0,0,21.096,1,9.33,1,0.0,0,162
2014-04-13,AS14.03,0,7.4,5,0.2,5,1.0,5,0.0781375421662017,24,7752.552998781202,73,1.0,1,1.0,1,1391.4610000000002,8,2391.0519999999997,44,3217.933999999999,74,0.0,0,0.0,0,643.756,18,4335.307,13,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,271
2014-04-14,AS14.03,0,7.0,5,0.0,5,0.8,5,0.0928962657178071,24,4230.447000265119,81,0.0,0,1.0,1,1808.078,40,3571.216999999999,51,1152.6689999999994,62,28.19,1,0.0,0,8.073,1,58.008,6,41.365,7,0.0,0,11.226,1,17.303,1,0.0,0,291
